symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NASDX,2020-07-21 00:00:00+00:00,24.82,24.82,24.82,24.82,0,24.4946848382,24.4946848382,24.4946848382,24.4946848382,0,0.0,1.0
NASDX,2020-07-22 00:00:00+00:00,24.9,24.9,24.9,24.9,0,24.5736362801,24.5736362801,24.5736362801,24.5736362801,0,0.0,1.0
NASDX,2020-07-23 00:00:00+00:00,24.24,24.24,24.24,24.24,0,23.9222868847,23.9222868847,23.9222868847,23.9222868847,0,0.0,1.0
NASDX,2020-07-24 00:00:00+00:00,24.02,24.02,24.02,24.02,0,23.7051704196,23.7051704196,23.7051704196,23.7051704196,0,0.0,1.0
NASDX,2020-07-27 00:00:00+00:00,24.45,24.45,24.45,24.45,0,24.1295344196,24.1295344196,24.1295344196,24.1295344196,0,0.0,1.0
NASDX,2020-07-28 00:00:00+00:00,24.12,24.12,24.12,24.12,0,23.8038597219,23.8038597219,23.8038597219,23.8038597219,0,0.0,1.0
NASDX,2020-07-29 00:00:00+00:00,24.43,24.43,24.43,24.43,0,24.1097965591,24.1097965591,24.1097965591,24.1097965591,0,0.0,1.0
NASDX,2020-07-30 00:00:00+00:00,24.56,24.56,24.56,24.56,0,24.2380926522,24.2380926522,24.2380926522,24.2380926522,0,0.0,1.0
NASDX,2020-07-31 00:00:00+00:00,24.99,24.99,24.99,24.99,0,24.6624566522,24.6624566522,24.6624566522,24.6624566522,0,0.0,1.0
NASDX,2020-08-03 00:00:00+00:00,25.33,25.33,25.33,25.33,0,24.9980002801,24.9980002801,24.9980002801,24.9980002801,0,0.0,1.0
NASDX,2020-08-04 00:00:00+00:00,25.42,25.42,25.42,25.42,0,25.0868206522,25.0868206522,25.0868206522,25.0868206522,0,0.0,1.0
NASDX,2020-08-05 00:00:00+00:00,25.49,25.49,25.49,25.49,0,25.1559031638,25.1559031638,25.1559031638,25.1559031638,0,0.0,1.0
NASDX,2020-08-06 00:00:00+00:00,25.83,25.83,25.83,25.83,0,25.4914467917,25.4914467917,25.4914467917,25.4914467917,0,0.0,1.0
NASDX,2020-08-07 00:00:00+00:00,25.54,25.54,25.54,25.54,0,25.205247815,25.205247815,25.205247815,25.205247815,0,0.0,1.0
NASDX,2020-08-10 00:00:00+00:00,25.42,25.42,25.42,25.42,0,25.0868206522,25.0868206522,25.0868206522,25.0868206522,0,0.0,1.0
NASDX,2020-08-11 00:00:00+00:00,24.95,24.95,24.95,24.95,0,24.6229809312,24.6229809312,24.6229809312,24.6229809312,0,0.0,1.0
NASDX,2020-08-12 00:00:00+00:00,25.59,25.59,25.59,25.59,0,25.2545924662,25.2545924662,25.2545924662,25.2545924662,0,0.0,1.0
